audio_path,question,output,output_rating,gt,question_id,question_category,mae
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the overall performance, on a scale of 0 to 6?","[""4.0rve, 5.0, and 6.0 are reserved for special occasions like birthdays or anniversaries. This performance is worth a 4.0. Lincoln's speech is very good, but it's not outstanding enough to deserve the highest score. 5.0 from reader2.0 out of 5.0 3.0 out of 5.0 1.0 out of 5.0 -1.0 out of 5.0 0.0 out of 5.0 -2.0 out of 5.0 -3.0 out of 5.0 -4.0 out of 5.0 -5.0 out of 5.0 5.0 out of 5.0 4.0 out of 5.0 3.0 out of 5.0 2.0 out of 5.0 1.0 out of 5.0 0 out of 5.0 -1.0 out of 5.0 -2.0 out of 5.0 -3.0 out of""]",4.0,3,1,summary,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the overall performance, on a scale of 0 to 6?","[""4.0rve, 5.0, and 6.0 are reserved for special occasions like birthdays or anniversaries. This performance is worth a 4.0. Lincoln's speech is very good, but it's not outstanding enough to deserve the highest score. 5.0 from reader2.0 out of 5.0 3.0 out of 5.0 1.0 out of 5.0 -1.0 out of 5.0 0.0 out of 5.0 -2.0 out of 5.0 -3.0 out of 5.0 -4.0 out of 5.0 -5.0 out of 5.0 5.0 out of 5.0 4.0 out of 5.0 3.0 out of 5.0 2.0 out of 5.0 1.0 out of 5.0 0 out of 5.0 -1.0 out of 5.0 -2.0 out of 5.0 -3.0 out of""]",4.0,3,2,summary,1.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the uniformity of the note values, on a scale of 0 to 6?","['5.5Flat notes are not a problem, and there are not too many long notes. -5.0Flat notes are prevalent, and there are many long notes.6.0      Flat notes are prevalent, and there are many long notes.6.0      Flat notes are prevalent, and there are many long notes.6.0      Flat notes are prevalent, and there are many long notes.6.0      Flat notes are prevalent, and there are many long notes.6.0      Flat notes are prevalent, and there are many long notes.6.0      Flat notes are prevalent, and there are many long notes.6.0      Flat notes are prevalent, and there are many long notes.6.0      Flat notes are prevalent, and there are many long notes.6.0      Flat notes are prevalent, and there are many long notes.6.0      Flat notes are prevalent, and there are many long notes.6.0      Flat notes are prevalent, and there are many long notes.6.0      Flat notes are prevalent, and there are many long notes.6.0']",5.0,1,4,coordination,4.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the solidity of the sound, on a scale of 0 to 6?",['4.5 Left hand part is a bit monotonous. But the right hand part is quite interesting with a series of arpeggio. 0.5 3.5 1.5 2.5 4.5 Left hand part is a bit monotonous. But right hand part is quite interesting with a series of arpeggio. 0.5 3.5 1.5 2.5 4.5 Left hand part is a bit monotonous. But right hand part is quite interesting with a series of arpeggio. 0.5 3.5 1.5 2.5 4.5 Left hand part is a bit monotonous. But right hand part is quite interesting with a series of arpeggio. 0.5 3.5 1.5 2.5 4.5 Left hand part is a bit monotonous. But right hand part is quite interesting with a series of arpeggio. 0.5 3.5 1.5 2.5 4.5 Left hand part is'],4.5,1,5,tone production,3.5
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the cleanliness of the attack, on a scale of 0 to 6?","['6.0 Flatness of the dynamics, on a scale of 0 to 5 5.0 Other - ""What does the player do with their hands?""Reach with right hand. ""What does the player do with their feet?""Tap with left foot. ""How would you describe the rhythm of the piece?""Strong. ""Is the rhythm consistent and uniform?""Yes. ""Is the player using a pick or finger?""Finger. ""What is the mood of the music?""Happy. ""What is the tempo of the music?""Fast. ""How would you describe the feeling of the music?""Exciting. ""Is the player using legato or staccato?""Legato. ""What is the mood of the music?""Scary. ""What is the tempo of the music?""Fast. ""How would you describe the feeling of the music?""Exciting. 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.']",6.0,1,6,articulation,5.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the correctness of the rhythm, on a scale of 0 to 6?","['4.5  Trumpet part is correct, but the accompaniment needs to be played with a more legato feel. 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.']",4.5,1,9,rhythm and tempo,3.5
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the consistency of the tempo, on a scale of 0 to 6?",['6ème - The tempo is very consistent. 5ème - The tempo is quite consistent. 4ème - The tempo is relatively consistent. 3ème - The tempo is consistent. 2ème - The tempo is relatively inconsistent. 1ème - The tempo is not very consistent. 0ème - The tempo is not consistent at all. 5.5eldo 5ème - The tempo is very consistent.5.5 5ème - The tempo is very consistent.5 5ème - The tempo is very consistent.5 5ème - The tempo is very consistent.5 5ème - The tempo is very consistent.5 5ème - The tempo is very consistent.5 5ème - The tempo is very consistent.5 5ème - The tempo is very consistent.5 5ème - The tempo is very consistent.5 5ème - The tempo is very consistent.5 5ème - The tempo is very consistent.5 5ème - The tempo is very consistent.5 5ème - The tempo is very consistent.5 5ème - The tempo is very consistent.5'],5.0,5,10,rhythm and tempo,0.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the connectivity of the lines, on a scale of 0 to 6?",['5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5'],5.0,1,11,articulation,4.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the sense of tonality, on a scale of 0 to 6?","['6 out of 6Because the music features a great deal of contrast, which is achieved through the use of dynamics, and this gives a sense of tonality to the music. 5.5 out of 6 because the music given is an excerpt from a larger piece, and the sense of tonality is maintained throughout the piece. 1.5 out of 6 because the music is not impressive on tonality. 0 out of 6 because the music is not impressive on tonality. 6 out of 6 because the music is amazing. 3.5 out of 6 because the music is okay. 1 out of 6 because the music is bad. 6 out of 6 because the music is amazing. 3.5 out of 6 because the music is okay. 1 out of 6 because the music is bad. 6 out of 6 because the music is amazing. 3.5 out of 6 because the music is okay. 1 out of 6 because the music is bad. 6 out of 6 because the music is amazing. 3.5 out']",6.0,0,12,tone production,6.0
/data/EECS-MachineListeningLab/datasets/LLaQo/objeval/songs/rg_S_11_pp/61a866a60a688c4b0655a85c_642ba4780d12a78974e2a2cf.wav,"How would you rate the naturalness of the dynamics change, on a scale of 0 to 6?","['5.5A good change, the dynamics changed smoothly and naturally. 5.0 - 4.5An acceptable change, but it could be more subtle. 4.5 - 3.5A bad change, the dynamics changed too much. 3.5 or lessWrong change, it did not sound natural at all.5.0A good performance. 4.0 - 5.0An acceptable performance. 3.0 - 4.0A bad performance. 2.0 - 3.0A very bad performance.0 - 2.0A terrible performance.5.0An excellent performance. 4.0 - 5.0A good performance. 3.0 - 4.0An acceptable performance. 2.0 - 3.0A bad performance. 1.0 - 2.0A poor performance.0 - 1.0A very poor performance.5.0An excellent performance. 4.0 - 5.0A good performance. 3.0 - 4.0An acceptable performance.']",5.0,1,13,dynamics,4.0
